"","REF_DATE","Type.of.crop","GEO","Average.farm.price..dollars.per.tonne.","Average.yield..kilograms.per.hectare.","Production..metric.tonnes.","Seeded.area..acres.","Seeded.area..hectares.","Total.farm.value..dollars."
"139",1908,"Rye, fall remaining","QC",NA,NA,0,NA,NA,NA
"140",1908,"Rye, fall remaining","SK",NA,NA,0,NA,NA,NA
"141",1908,"Rye, spring","AB",NA,NA,0,NA,NA,NA
"142",1908,"Rye, spring","BC",NA,NA,0,NA,NA,NA
"143",1908,"Rye, spring","MB",NA,NA,0,NA,NA,NA
"144",1908,"Rye, spring","NB",NA,NA,0,NA,NA,NA
"145",1908,"Rye, spring","NL",NA,NA,0,NA,NA,NA
"146",1908,"Rye, spring","NS",NA,NA,0,NA,NA,NA
"147",1908,"Rye, spring","ON",NA,NA,0,NA,NA,NA
"148",1908,"Rye, spring","PE",NA,NA,0,NA,NA,NA
"149",1908,"Rye, spring","QC",NA,NA,0,NA,NA,NA
"150",1908,"Rye, spring","SK",NA,NA,0,NA,NA,NA
"151",1908,"Soybeans","AB",NA,NA,0,NA,NA,NA
"152",1908,"Soybeans","BC",NA,NA,0,NA,NA,NA
"153",1908,"Soybeans","MB",NA,NA,0,NA,NA,NA
"154",1908,"Soybeans","NB",NA,NA,0,NA,NA,NA
"155",1908,"Soybeans","NL",NA,NA,0,NA,NA,NA
"156",1908,"Soybeans","NS",NA,NA,0,NA,NA,NA
"157",1908,"Soybeans","ON",NA,NA,0,NA,NA,NA
"158",1908,"Soybeans","PE",NA,NA,0,NA,NA,NA
"159",1908,"Soybeans","QC",NA,NA,0,NA,NA,NA
"160",1908,"Soybeans","SK",NA,NA,0,NA,NA,NA
"161",1908,"Sugar beets","AB",0.55,18100,38100,5200,2100,208
"162",1908,"Sugar beets","BC",NA,NA,0,NA,NA,NA
"163",1908,"Sugar beets","MB",NA,NA,0,NA,NA,NA
"164",1908,"Sugar beets","NB",NA,NA,0,NA,NA,NA
"165",1908,"Sugar beets","NL",NA,NA,0,NA,NA,NA
"166",1908,"Sugar beets","NS",NA,NA,0,NA,NA,NA
"167",1908,"Sugar beets","ON",0.61,26400,60800,5600,2300,370
"168",1908,"Sugar beets","PE",NA,NA,0,NA,NA,NA
"169",1908,"Sugar beets","QC",NA,NA,0,NA,NA,NA
"170",1908,"Sugar beets","SK",NA,NA,0,NA,NA,NA
"171",1908,"Sunflower seed","AB",NA,NA,0,NA,NA,NA
"172",1908,"Sunflower seed","BC",NA,NA,0,NA,NA,NA
"173",1908,"Sunflower seed","MB",NA,NA,0,NA,NA,NA
"174",1908,"Sunflower seed","NB",NA,NA,0,NA,NA,NA
"175",1908,"Sunflower seed","NL",NA,NA,0,NA,NA,NA
"176",1908,"Sunflower seed","NS",NA,NA,0,NA,NA,NA
"177",1908,"Sunflower seed","ON",NA,NA,0,NA,NA,NA
"178",1908,"Sunflower seed","PE",NA,NA,0,NA,NA,NA
"179",1908,"Sunflower seed","QC",NA,NA,0,NA,NA,NA
"180",1908,"Sunflower seed","SK",NA,NA,0,NA,NA,NA
"181",1908,"Tame hay","AB",0.84,5050,101000,57100,20000,846
"182",1908,"Tame hay","BC",NA,NA,0,NA,NA,NA
"183",1908,"Tame hay","MB",0.82,3900,195000,119200,50000,1592
"184",1908,"Tame hay","NB",1.03,3010,845000,694500,281000,8664
"185",1908,"Tame hay","NL",NA,NA,0,NA,NA,NA
"186",1908,"Tame hay","NS",1.14,3810,988000,640800,259000,11242
"187",1908,"Tame hay","ON",1.21,3270,4706000,3552700,1438000,57160
"188",1908,"Tame hay","PE",1.07,3900,378000,238500,97000,4049
"189",1908,"Tame hay","QC",1.21,2690,3151000,2893800,1171000,38198
"190",1908,"Tame hay","SK",0.55,2400,24000,14300,10000,133
"191",1908,"Wheat, all","AB",25,1690,186000,271000,110000,4617
"192",1908,"Wheat, all","BC",0,0,0,0,0,0
"193",1908,"Wheat, all","MB",31,1145,1368000,2957000,1197000,41924
"194",1908,"Wheat, all","NB",42,1165,9500,20200,8150,402
"195",1908,"Wheat, all","NL",NA,NA,0,NA,NA,NA
"196",1908,"Wheat, all","NS",39,1170,9750,20600,8350,378
"197",1908,"Wheat, all","ON",33,1495,491500,812400,328900,16021
"198",1908,"Wheat, all","PE",35,960,10700,27600,11150,370
"199",1908,"Wheat, all","QC",42,910,38800,105500,42700,1633
"200",1908,"Wheat, all","SK",27,975,946000,2396000,970000,25883
"201",1908,"Wheat, durum","AB",NA,NA,0,NA,NA,NA
"202",1908,"Wheat, durum","BC",NA,NA,0,NA,NA,NA
"203",1908,"Wheat, durum","MB",NA,NA,0,NA,NA,NA
"204",1908,"Wheat, durum","NB",NA,NA,0,NA,NA,NA
"205",1908,"Wheat, durum","NL",NA,NA,0,NA,NA,NA
"206",1908,"Wheat, durum","NS",NA,NA,0,NA,NA,NA
"207",1908,"Wheat, durum","ON",NA,NA,0,NA,NA,NA
"208",1908,"Wheat, durum","PE",NA,NA,0,NA,NA,NA
"209",1908,"Wheat, durum","QC",NA,NA,0,NA,NA,NA
"210",1908,"Wheat, durum","SK",NA,NA,0,NA,NA,NA
"211",1908,"Wheat, spring","AB",NA,NA,0,NA,NA,NA
"212",1908,"Wheat, spring","BC",NA,NA,0,NA,NA,NA
"213",1908,"Wheat, spring","MB",NA,NA,0,NA,NA,NA
"214",1908,"Wheat, spring","NB",NA,NA,0,NA,NA,NA
"215",1908,"Wheat, spring","NL",NA,NA,0,NA,NA,NA
"216",1908,"Wheat, spring","NS",NA,NA,0,NA,NA,NA
"217",1908,"Wheat, spring","ON",32,1060,61500,143000,57900,1961
"218",1908,"Wheat, spring","PE",NA,NA,0,NA,NA,NA
"219",1908,"Wheat, spring","QC",NA,NA,0,NA,NA,NA
"220",1908,"Wheat, spring","SK",NA,NA,0,NA,NA,NA
"221",1908,"Wheat, winter remaining","AB",NA,NA,0,NA,NA,NA
"222",1908,"Wheat, winter remaining","BC",NA,NA,0,NA,NA,NA
"223",1908,"Wheat, winter remaining","MB",NA,NA,0,NA,NA,NA
"224",1908,"Wheat, winter remaining","NB",NA,NA,0,NA,NA,NA
"225",1908,"Wheat, winter remaining","NL",NA,NA,0,NA,NA,NA
"226",1908,"Wheat, winter remaining","NS",NA,NA,0,NA,NA,NA
"227",1908,"Wheat, winter remaining","ON",33,1585,430000,NA,NA,14060
"228",1908,"Wheat, winter remaining","PE",NA,NA,0,NA,NA,NA
"229",1908,"Wheat, winter remaining","QC",NA,NA,0,NA,NA,NA
"230",1908,"Wheat, winter remaining","SK",NA,NA,0,NA,NA,NA
"231",1909,"Barley","AB",15,1745,131000,186000,75000,2016
"232",1909,"Barley","BC",0,0,0,0,0,0
"233",1909,"Barley","MB",17,1610,454000,696000,282000,7929
"234",1909,"Barley","NB",32,1575,2050,3200,1300,65
"235",1909,"Barley","NL",NA,NA,0,NA,NA,NA
"236",1909,"Barley","NS",35,1335,4800,8900,3600,170
"237",1909,"Barley","ON",26,1560,456200,721500,292000,11670
"238",1909,"Barley","PE",27,1540,3700,5900,2400,99
"239",1909,"Barley","QC",33,1290,56700,108400,43900,1867
"240",1909,"Barley","SK",17,1780,98000,135000,55000,1618
"241",1909,"Beans, all dry (white and coloured)","AB",NA,NA,0,NA,NA,NA
"242",1909,"Beans, all dry (white and coloured)","BC",NA,NA,0,NA,NA,NA
"243",1909,"Beans, all dry (white and coloured)","MB",NA,NA,0,NA,NA,NA
"244",1909,"Beans, all dry (white and coloured)","NB",99,3070,2150,1700,700,212
"245",1909,"Beans, all dry (white and coloured)","NL",NA,NA,0,NA,NA,NA
"246",1909,"Beans, all dry (white and coloured)","NS",83,1955,2250,2900,1150,186
"247",1909,"Beans, all dry (white and coloured)","ON",41,1540,24600,39600,16000,1000
"248",1909,"Beans, all dry (white and coloured)","PE",NA,NA,0,NA,NA,NA
"249",1909,"Beans, all dry (white and coloured)","QC",69,1480,6950,11600,4700,478
"250",1909,"Beans, all dry (white and coloured)","SK",NA,NA,0,NA,NA,NA
"251",1909,"Buckwheat","AB",NA,NA,0,NA,NA,NA
"252",1909,"Buckwheat","BC",NA,NA,0,NA,NA,NA
"253",1909,"Buckwheat","MB",NA,NA,0,NA,NA,NA
"254",1909,"Buckwheat","NB",25,1550,37600,59900,24250,950
"255",1909,"Buckwheat","NL",NA,NA,0,NA,NA,NA
"256",1909,"Buckwheat","NS",29,1375,10250,18400,7450,294
"257",1909,"Buckwheat","ON",26,1465,76900,129700,52500,1993
"258",1909,"Buckwheat","PE",25,1290,2000,3800,1550,50
"259",1909,"Buckwheat","QC",29,1510,43150,70600,28600,1267
"260",1909,"Buckwheat","SK",NA,NA,0,NA,NA,NA
"261",1909,"Canola (rapeseed)","AB",NA,NA,0,NA,NA,NA
"262",1909,"Canola (rapeseed)","BC",NA,NA,0,NA,NA,NA
"263",1909,"Canola (rapeseed)","MB",NA,NA,0,NA,NA,NA
"264",1909,"Canola (rapeseed)","NB",NA,NA,0,NA,NA,NA
"265",1909,"Canola (rapeseed)","NL",NA,NA,0,NA,NA,NA
"266",1909,"Canola (rapeseed)","NS",NA,NA,0,NA,NA,NA
"267",1909,"Canola (rapeseed)","ON",NA,NA,0,NA,NA,NA
"268",1909,"Canola (rapeseed)","PE",NA,NA,0,NA,NA,NA
"269",1909,"Canola (rapeseed)","QC",NA,NA,0,NA,NA,NA
"270",1909,"Canola (rapeseed)","SK",NA,NA,0,NA,NA,NA
"271",1909,"Corn for grain","AB",NA,NA,0,NA,NA,NA
"272",1909,"Corn for grain","BC",NA,NA,0,NA,NA,NA
"273",1909,"Corn for grain","MB",NA,NA,0,NA,NA,NA
"274",1909,"Corn for grain","NB",NA,NA,0,NA,NA,NA
"275",1909,"Corn for grain","NL",NA,NA,0,NA,NA,NA
"276",1909,"Corn for grain","NS",NA,NA,0,NA,NA,NA
"277",1909,"Corn for grain","ON",26,3590,463000,320000,129000,11837
"278",1909,"Corn for grain","PE",NA,NA,0,NA,NA,NA
"279",1909,"Corn for grain","QC",35,2045,26600,32200,13000,923
"280",1909,"Corn for grain","SK",NA,NA,0,NA,NA,NA
"281",1909,"Corn for silage","AB",NA,NA,0,NA,NA,NA
"282",1909,"Corn for silage","BC",NA,NA,0,NA,NA,NA
"283",1909,"Corn for silage","MB",NA,NA,0,NA,NA,NA
"284",1909,"Corn for silage","NB",0.35,36670,11000,800,300,38
"285",1909,"Corn for silage","NL",NA,NA,0,NA,NA,NA
"286",1909,"Corn for silage","NS",0.94,13330,8000,1500,600,75
"287",1909,"Corn for silage","ON",0.61,22630,2082000,227000,92000,12691
"288",1909,"Corn for silage","PE",0.36,3000,9000,700,300,32
"289",1909,"Corn for silage","QC",0.55,25530,411000,39700,16100,2279
"290",1909,"Corn for silage","SK",NA,NA,0,NA,NA,NA
"291",1909,"Flaxseed","AB",41,1400,2800,5800,2000,114
"292",1909,"Flaxseed","BC",NA,NA,0,NA,NA,NA
"293",1909,"Flaxseed","MB",52,900,8100,22400,9000,418
"294",1909,"Flaxseed","NB",NA,NA,0,NA,NA,NA
"295",1909,"Flaxseed","NL",NA,NA,0,NA,NA,NA
"296",1909,"Flaxseed","NS",NA,NA,0,NA,NA,NA
"297",1909,"Flaxseed","ON",NA,NA,0,NA,NA,NA
"298",1909,"Flaxseed","PE",NA,NA,0,NA,NA,NA
"299",1909,"Flaxseed","QC",NA,NA,0,NA,NA,NA
"300",1909,"Flaxseed","SK",49,1010,45400,110300,45000,2229
"301",1909,"Lentils","AB",NA,NA,0,NA,NA,NA
"302",1909,"Lentils","BC",NA,NA,0,NA,NA,NA
"303",1909,"Lentils","MB",NA,NA,0,NA,NA,NA
"304",1909,"Lentils","NB",NA,NA,0,NA,NA,NA
"305",1909,"Lentils","NL",NA,NA,0,NA,NA,NA
"306",1909,"Lentils","NS",NA,NA,0,NA,NA,NA
"307",1909,"Lentils","ON",NA,NA,0,NA,NA,NA
"308",1909,"Lentils","PE",NA,NA,0,NA,NA,NA
"309",1909,"Lentils","QC",NA,NA,0,NA,NA,NA
"310",1909,"Lentils","SK",NA,NA,0,NA,NA,NA
"311",1909,"Mixed grains","AB",NA,NA,0,NA,NA,NA
"312",1909,"Mixed grains","BC",NA,NA,0,NA,NA,NA
"313",1909,"Mixed grains","MB",NA,NA,0,NA,NA,NA
"314",1909,"Mixed grains","NB",30,1650,3300,5000,2000,98
"315",1909,"Mixed grains","NL",NA,NA,0,NA,NA,NA
"316",1909,"Mixed grains","NS",31,1805,5150,7000,2850,159
"317",1909,"Mixed grains","ON",26,1745,297800,422300,170900,7864
"318",1909,"Mixed grains","PE",25,2035,12200,14800,6000,304
"319",1909,"Mixed grains","QC",32,1440,77400,133000,53800,2491
"320",1909,"Mixed grains","SK",NA,NA,0,NA,NA,NA
"321",1909,"Mustard seed","AB",NA,NA,0,NA,NA,NA
"322",1909,"Mustard seed","BC",NA,NA,0,NA,NA,NA
"323",1909,"Mustard seed","MB",NA,NA,0,NA,NA,NA
"324",1909,"Mustard seed","NB",NA,NA,0,NA,NA,NA
"325",1909,"Mustard seed","NL",NA,NA,0,NA,NA,NA
"326",1909,"Mustard seed","NS",NA,NA,0,NA,NA,NA
"327",1909,"Mustard seed","ON",NA,NA,0,NA,NA,NA
"328",1909,"Mustard seed","PE",NA,NA,0,NA,NA,NA
"329",1909,"Mustard seed","QC",NA,NA,0,NA,NA,NA
"330",1909,"Mustard seed","SK",NA,NA,0,NA,NA,NA
"331",1909,"Oats","AB",16,1785,592000,820000,332000,9287
"332",1909,"Oats","BC",0,0,0,0,0,0
"333",1909,"Oats","MB",20,1515,852000,1390000,563000,17178
"334",1909,"Oats","NB",31,1060,89050,207200,83850,2801
"335",1909,"Oats","NL",NA,NA,0,NA,NA,NA
"336",1909,"Oats","NS",33,1200,67200,138100,55900,2214
"337",1909,"Oats","ON",27,1325,1684000,3142200,1271600,45315
"338",1909,"Oats","PE",26,1285,95650,184000,74450,2480
"339",1909,"Oats","QC",30,1030,655500,1574100,637000,19891
"340",1909,"Oats","SK",16,1895,1416000,1847000,747000,23224
"341",1909,"Peas, dry","AB",NA,NA,0,NA,NA,NA
"342",1909,"Peas, dry","BC",NA,NA,0,NA,NA,NA
"343",1909,"Peas, dry","MB",17,1300,650,1200,500,11
"344",1909,"Peas, dry","NB",49,1790,1700,2400,950,84
"345",1909,"Peas, dry","NL",NA,NA,0,NA,NA,NA
"346",1909,"Peas, dry","NS",46,2635,1450,1400,550,66
"347",1909,"Peas, dry","ON",31,1425,197000,341300,138100,6008
"348",1909,"Peas, dry","PE",35,1600,400,600,250,14
"349",1909,"Peas, dry","QC",46,1090,20450,46400,18800,941
"350",1909,"Peas, dry","SK",NA,NA,0,NA,NA,NA
"351",1909,"Rye, all","AB",20,1335,4000,6800,3000,81
"352",1909,"Rye, all","BC",NA,NA,0,NA,NA,NA
"353",1909,"Rye, all","MB",23,1000,2000,4700,2000,46
"354",1909,"Rye, all","NB",29,1260,102,200,81,3
"355",1909,"Rye, all","NL",NA,NA,0,NA,NA,NA
"356",1909,"Rye, all","NS",30,2000,400,600,200,12
"357",1909,"Rye, all","ON",28,1205,27900,57300,23200,770
"358",1909,"Rye, all","PE",NA,NA,0,NA,NA,NA
"359",1909,"Rye, all","QC",35,1105,8500,19000,7700,301
"360",1909,"Rye, all","SK",41,1000,1000,2700,1000,41
"361",1909,"Rye, fall remaining","AB",NA,NA,0,NA,NA,NA
"362",1909,"Rye, fall remaining","BC",NA,NA,0,NA,NA,NA
"363",1909,"Rye, fall remaining","MB",NA,NA,0,NA,NA,NA
"364",1909,"Rye, fall remaining","NB",NA,NA,0,NA,NA,NA
"365",1909,"Rye, fall remaining","NL",NA,NA,0,NA,NA,NA
"366",1909,"Rye, fall remaining","NS",NA,NA,0,NA,NA,NA
"367",1909,"Rye, fall remaining","ON",NA,NA,0,NA,NA,NA
"368",1909,"Rye, fall remaining","PE",NA,NA,0,NA,NA,NA
"369",1909,"Rye, fall remaining","QC",NA,NA,0,NA,NA,NA
"370",1909,"Rye, fall remaining","SK",NA,NA,0,NA,NA,NA
"371",1909,"Rye, spring","AB",NA,NA,0,NA,NA,NA
"372",1909,"Rye, spring","BC",NA,NA,0,NA,NA,NA
"373",1909,"Rye, spring","MB",NA,NA,0,NA,NA,NA
"374",1909,"Rye, spring","NB",NA,NA,0,NA,NA,NA
"375",1909,"Rye, spring","NL",NA,NA,0,NA,NA,NA
"376",1909,"Rye, spring","NS",NA,NA,0,NA,NA,NA
"377",1909,"Rye, spring","ON",NA,NA,0,NA,NA,NA
"378",1909,"Rye, spring","PE",NA,NA,0,NA,NA,NA
"379",1909,"Rye, spring","QC",NA,NA,0,NA,NA,NA
"380",1909,"Rye, spring","SK",NA,NA,0,NA,NA,NA
"381",1909,"Soybeans","AB",NA,NA,0,NA,NA,NA
"382",1909,"Soybeans","BC",NA,NA,0,NA,NA,NA
"383",1909,"Soybeans","MB",NA,NA,0,NA,NA,NA
"384",1909,"Soybeans","NB",NA,NA,0,NA,NA,NA
"385",1909,"Soybeans","NL",NA,NA,0,NA,NA,NA
"386",1909,"Soybeans","NS",NA,NA,0,NA,NA,NA
"387",1909,"Soybeans","ON",NA,NA,0,NA,NA,NA
"388",1909,"Soybeans","PE",NA,NA,0,NA,NA,NA
"389",1909,"Soybeans","QC",NA,NA,0,NA,NA,NA
"390",1909,"Soybeans","SK",NA,NA,0,NA,NA,NA
"391",1909,"Sugar beets","AB",0.55,18100,14500,2000,800,80
"392",1909,"Sugar beets","BC",NA,NA,0,NA,NA,NA
"393",1909,"Sugar beets","MB",NA,NA,0,NA,NA,NA
"394",1909,"Sugar beets","NB",NA,NA,0,NA,NA,NA
"395",1909,"Sugar beets","NL",NA,NA,0,NA,NA,NA
"396",1909,"Sugar beets","NS",NA,NA,0,NA,NA,NA
"397",1909,"Sugar beets","ON",0.66,19800,63500,8000,3200,420
"398",1909,"Sugar beets","PE",NA,NA,0,NA,NA,NA
"399",1909,"Sugar beets","QC",NA,NA,0,NA,NA,NA
"400",1909,"Sugar beets","SK",NA,NA,0,NA,NA,NA
"401",1909,"Sunflower seed","AB",NA,NA,0,NA,NA,NA
"402",1909,"Sunflower seed","BC",NA,NA,0,NA,NA,NA
"403",1909,"Sunflower seed","MB",NA,NA,0,NA,NA,NA
